questions,answers
asking about pm fasal bima yojana.,"rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details."
asking about control of rice yellow stem borer,recommended to advised him to apply tricel 20 ec @ 2ml/lit of water spray 3 time at 5 days interval
asking about post planting fertilizer application in rice.	,recommended to advised him to apply tricel 20 ec @ 2ml/lit of water spray 3 time at 5 days interval
asking about whether to apply weedicide in the paddy of over age 30 days ,suggested not to apply any weedicide any to do manual weeding
asking about the coconut nutrient management,"told him to apply coconut special @ 200 gm / plant , yearly twice , in april- may and once in november -december.
apply borax @ 25 to 30 gm / plant in ring method , 1m to 1.75 m  away from the plant ."
asking about articificial insiminition of goat ,"recommended to the doe's estrous cycle
the doe's estrous cycle is the interval between two estrus or heat periods that lasts an average of 21 days. the estrus or heat can last from 12 to 48 hours. during estrus does are receptive to being mounted by bucks. for artificial insemination, it is important to identify when a doe is in heat. producers are encouraged to utilize teasers, usually a vasectomized buck to identify a doe in heat. the signs of a doe in heat are:

swelling of the vagina
seeking the buck
standing for mating by the buck, teaser, or by other does
frequent urination
flagging tail
vocalization
presents vagina with mucus discharge that appears crystalline at the beginning, but may have a cheesy appearance near ovulation tim"
asking about feed supplement for milk increase ,"recommended to the doe's estrous cycle
the doe's estrous cycle is the interval between two estrus or heat periods that lasts an average of 21 days. the estrus or heat can last from 12 to 48 hours. during estrus does are receptive to being mounted by bucks. for artificial insemination, it is important to identify when a doe is in heat. producers are encouraged to utilize teasers, usually a vasectomized buck to identify a doe in heat. the signs of a doe in heat are:

swelling of the vagina
seeking the buck
standing for mating by the buck, teaser, or by other does
frequent urination
flagging tail
vocalization
presents vagina with mucus discharge that appears crystalline at the beginning, but may have a cheesy appearance near ovulation tim"
fruit and shoot borer in brinjal,told the chemical application decis 2.8 ec @1ml/1l or malathian 50 ec @1.5ml/l for better control and followed by application of growth promoter
asking about control measure of insect attack in paddy,"told him to contact gram sevak or kvk, dibrugarh for better result since the symptoms are not clear"
asking about the problem of bitterness in cucumber,"told him to spray succinic acid @ 1ml / l of water , spray during flowering season."
asking about sowing time of sesame,told him- sowing time of sesame is from july- september
asking about control remedy for aphids,"suggested to spray malathion @ 2ml/litre water,2 sprays at an interval of 5 days"
asking about fertilizer requirement  in sali rice ,"suggested papaya varieties :co1,co2 
season: june-sept
fertilizer dose: urea @ 1kg, ssp @ 3kg, mop @ 800 g per plant in two split doses (1. 2 months after planting 2.at the time of fruit set)
"
"asking about papaya varieties,season,fertiliser doses","suggested papaya varieties :co1,co2 
season: june-sept
fertilizer dose: urea @ 1kg, ssp @ 3kg, mop @ 800 g per plant in two split doses (1. 2 months after planting 2.at the time of fruit set)
"
asking about nutrient management in coconut	,"told him to apply 700 gram urea, 1200 gram ssp, 900 gram mop, 200 gram coconut special per plant in ring method at 1.5 meter distance from the plant.
"
asking about control measure of stem borer of paddy,"told him to apply tricel 20 ec @ 2 ml per litre of water, thrice at 4 days interval"
asking about betelvine planting,told him to go for planting of cuttings during may-august.land for planting should be treated with formalin solution (4%) to be sprinkled @ 3l/sq.m of soil.in baroj system the spacing of cuttings is 15 x15 cm from plant to plant and 50 x 50 cm from row to row.around 95000 to 100000 cuttings are required per hectare for planting.
 query regarding some goat showing the signs of cough      ," told him to give caflon powder 100 gm -15-20 gm orally for 7-8 days / or cotrimal bolus 1 nos - 1/2 bolus orally twice in daily , inject enrocin 15 ml - 1-2 ml i/ mly with anistamin 10 ml as directed "
asking about tomato f1 hybrid variety nth 2530 by nirmal company,"told him that -
characters are-
growth habit - semi indeterminate
fruit shape - oval
fruit weight (g)- 95 – 100
fruit firmness-	very firm
special features
semi indeterminate growth habit with vigorous growth & continuous fruit setting ability
single fruit wt. around 95 – 100 g with deep red colour & thick peel & good flexibility
good firmness & suitable for long distance transportation
highly tolerant to early & late blight disease
suitable for rainy & winter season cultivation."
asked about state govt. beneficiary after flood.,told him to contact nearby gram sevok.
asking about top dressing of urea ,told him to apply urea 3kg/bigha as top dressing
asking about vegetables that can be grown in this period,"suggested to plant that the following crops suitable suitable-potato,tomato,cabbage,cauliflower,knol-khol and other rabi crops"
asking about control measures for damping off,suggested to drench the soil with blitox @2ml/litre water before sowing the seeds
asking about registration of nursery.,"told him to contact with district agriculture office, dibrugarh."
asking about sowing time of maize.,told him that sowing time of maize is march to may dibrugarh region.
complaint against registration in stw scheme,told him to contact district agriculture office
asking about control measure of root rot of beans,told him to apply saaf @ 2 ml per litre of water 3 times at 4 days interval
asking about stem cutting of citrus,told him to apply saaf @ 2 ml per litre of water 3 times at 4 days interval
asking about control of rodents.,suggested to make a trap for rodent. to make the trap take banana (senichampa) and make some hokes in it and fill the holes with dry cement and place it in the corridor of the rodent. another trap can be make by soaking maize in urea solution for 1 hour and put the maize in the corridor of rodent
asking about nutrient management in rice,suggested to make a trap for rodent. to make the trap take banana (senichampa) and make some hokes in it and fill the holes with dry cement and place it in the corridor of the rodent. another trap can be make by soaking maize in urea solution for 1 hour and put the maize in the corridor of rodent
