questions,answers,clean_question,clean_answer
query regarding seed storage of chilli and management of leaf curl disease of chilli. ,"--treatment- for seed treatment- use carboxin 2.5gm per kg of seed or trichoderma viridi 10gm/kg of seed and mixx them properly with seed and store thenm in a ait tight container.

for management of leaf curl disease- please spray neem oil 5ml/litter or azadirachtin 2ml/ litter 3 times at 3 days interval.",What is seed storage of chilli and management of leaf curl disease of chilli.?,--treatment- for seed treatment- use carboxin 2.5gm per kg of seed or trichoderma viridi 10gm/kg of seed and mixx them properly with seed and store thenm in a ait tight container. for management of leaf curl disease- please spray neem oil 5ml/litter or azadirachtin 2ml/ litter 3 times at 3 days interval.
asking about pm kishan ,--told him to visit agriculture department,What is pm kishan?,--told him to visit agriculture department
aking about top dressing dose of urea and mop,top urea @6kg per bigha at panicle initiation stage and mop@4kg per bigha.,Aking about top dressing dose of urea and mop?,Top urea @6kg per bigha at panicle initiation stage and mop@4kg per bigha.
aking about top dressing dose of urea and mop,top urea @6kg per bigha at panicle initiation stage and mop@4kg per bigha.,Aking about top dressing dose of urea and mop?,Top urea @6kg per bigha at panicle initiation stage and mop@4kg per bigha.
asking about control of stemm borer in paddy,"spray chloropyriphos (tricel 20 or classic 20 )@ 2ml/l water, 3 spray at 5 days interval.",What is control of stemm borer in paddy?,"Spray chloropyriphos tricel 20 or classic 20 @ 2ml/l water, 3 spray at 5 days interval."
asking about control of stemm borer in paddy,"spray chloropyriphos (tricel 20 or classic 20 )@ 2ml/l water, 3 spray at 5 days interval.",What is control of stemm borer in paddy?,"Spray chloropyriphos tricel 20 or classic 20 @ 2ml/l water, 3 spray at 5 days interval."
query regarding poultry.," treatment: duck: 1. tetracyclin powder 100gm pkt @ 2gm in 1 lit. water, daily for 5 days, 2. feroliv 500ml @ 20 ml orally, daily. 3. duck plague vaccine. chicks: 1. tetracyclin powder 100gm pkt. @ 2gm in 1 lit. water, orally, daily, for 5 days, 2. feroliv 500ml @ 20 ml orally, daily, 3. r2b vaccine 1 ph @ 0.5 ml i/m ly to each, after 7 days of r2b, ibd vaccine.",What is poultry.?,"Treatment: duck: 1. tetracyclin powder 100gm pkt @ 2gm in 1 lit. water, daily for 5 days, 2. feroliv 500ml @ 20 ml orally, daily. 3. duck plague vaccine. chicks: 1. tetracyclin powder 100gm pkt. @ 2gm in 1 lit. water, orally, daily, for 5 days, 2. feroliv 500ml @ 20 ml orally, daily, 3. r2b vaccine 1 ph @ 0.5 ml i/m ly to each, after 7 days of r2b, ibd vaccine."
asking about control of rhizome rot in ginger,"spray indofil m 45 or ridomil gold @2gm/l water, 3 spray at 5 days interval.",What is control of rhizome rot in ginger?,"Spray indofil m 45 or ridomil gold @2gm/l water, 3 spray at 5 days interval."
query about pm-kisan samman nidhi.,--,Query about pm-kisan samman nidhi.?,--
query about flower inducing hormones or vitamins.,"growth hormone: spray planofix @ 1 ml/lit of water, 2 times at 15 days interval.
vitamin: spray mahafal/tracel @ 2 ml/lit of water, 2 times at 15 days interval.",Query about flower inducing hormones or vitamins.?,"Growth hormone: spray planofix @ 1 ml/lit of water, 2 times at 15 days interval. vitamin: spray mahafal/tracel @ 2 ml/lit of water, 2 times at 15 days interval."
asking for nutrients for healthy growth of the plants.,"foliar spray of npk@ 10 gram/lit of water.
or spray planofix @ 1ml/lit of water.",Asking for nutrients for healthy growth of the plants.?,Foliar spray of npk@ 10 gram/lit of water. or spray planofix @ 1ml/lit of water.
query regarding leaf curl disease and wilting in chillies. ,"treatment: leaf curl management: please spray azadirachtin 2ml per liter of water or neem oil 5 ml per liter of water or bacillus thuringiensis 2ml per liter of water 3 times at 3 days interval in the evening time.

for wilting : please do the bacterial ooze test
                           process: cut a small part of that affected plant and put into a glass of clean water and keep it for 30 minutes. if the water become yellowish white than uproot the plant and drench the soil with blitox 2gm per liter of water. if the water remains clean than you can apply saaf 2 gram per liter of water after uprooting the plant.",What is leaf curl disease and wilting in chillies.?,Treatment: leaf curl management: please spray azadirachtin 2ml per liter of water or neem oil 5 ml per liter of water or bacillus thuringiensis 2ml per liter of water 3 times at 3 days interval in the evening time. for wilting : please do the bacterial ooze test process: cut a small part of that affected plant and put into a glass of clean water and keep it for 30 minutes. if the water become yellowish white than uproot the plant and drench the soil with blitox 2gm per liter of water. if the water remains clean than you can apply saaf 2 gram per liter of water after uprooting the plant.
query regarding control of yellowing in papaya,spray carboxin @ 2 g/l of water for three timea at an interval of 3 days,What is control of yellowing in papaya?,Spray carboxin @ 2 g/l of water for three timea at an interval of 3 days
asking about fruitfly control and method of ripening in papaya,"spraying of neem oil @ 2 ml/l of water for three times at 3 days interval.
ripening of papaya can be done by spraying of ethrel @ 1ml in 5 litres of water for two times at an interval of 15 days",What is fruitfly control and method of ripening in papaya?,Spraying of neem oil @ 2 ml/l of water for three times at 3 days interval. ripening of papaya can be done by spraying of ethrel @ 1ml in 5 litres of water for two times at an interval of 15 days
"asking about control measure of little leaf of papaya
","spray rogor @ 2 ml per lit of water, 3 sprays at 4 days interval",What is control measure of little leaf of papaya?,"Spray rogor @ 2 ml per lit of water, 3 sprays at 4 days interval"
query regarding control of papaya ring spot virus in papaya ,spray tricel @ 2 grams/litre of water for three times at an 5 days followed by spraying of  micronutrient like biovita for two times at an interval of 15 days,What is control of papaya ring spot virus in papaya?,Spray tricel @ 2 grams/litre of water for three times at an 5 days followed by spraying of micronutrient like biovita for two times at an interval of 15 days
 query regarding some cow affecting the skin characterised by wart / marbling like  appearance in the skin [ suspected to be lumpy skin disease ],"to  give melonex z , intacef 2.5 g i/ m ly daily for 5-6 days , auto haemo therapy ( 10 ml of whole blood collected from jugular vain & immediately inject in the glutious muscle ] serrapeptidase tab or injection , { anthiomalein may be tried  sos)",What is some cow affecting the skin characterised by wart / marbling like appearance in the skin  suspected to be lumpy skin disease?,"To give melonex z , intacef 2.5 g i/ m ly daily for 5-6 days , auto haemo therapy  10 ml of whole blood collected from jugular vain  immediately inject in the glutious muscle  serrapeptidase tab or injection ,  anthiomalein may be tried sos"
asking about kisan credit card,"kcc loan limit upto 3,00,000 /- at 7 % rate of interest. on timely payment 3% is reduce and only 4% interest is availed. land documents, bank details, aahdar card, pan card etc. are required to be submitted at the bank .",What is kisan credit card?,"Kcc loan limit upto 3,00,000 /- at 7  rate of interest. on timely payment 3 is reduce and only 4 interest is availed. land documents, bank details, aahdar card, pan card etc. are required to be submitted at the bank ."
"query regarding goat suffering from acute dirrea and death.
","reply: cal a vety. dr. as the symptom arise and treat, fed planty of nemu sarbat to the affected goat. deworming: zanide 200mg.",What is goat suffering from acute dirrea and death.?,"Reply: cal a vety. dr. as the symptom arise and treat, fed planty of nemu sarbat to the affected goat. deworming: zanide 200mg."
"query regarding disease of duck that are dyieng inthe night. 
",treatment: 1. tetracyclin powder 100gm @ 2gm daily with fssd daily for 5-6 days.,What is disease of duck that are dyieng inthe night.?,Treatment: 1. tetracyclin powder 100gm @ 2gm daily with fssd daily for 5-6 days.
query about variety.,"early: pusa deshi, pusa chetki and pusa himani.
late: jaunpuri, bombay red and japanese white.",Query about variety.?,"Early: pusa deshi, pusa chetki and pusa himani. late: jaunpuri, bombay red and japanese white."
asking about varieties.,"variety of tomato: punjab kesri, bt-1, arka abha(bwr-1), arka alok(bwr-5), pusa ruby, s-12 and pusa early dwarf.",What is varieties.?,"Variety of tomato: punjab kesri, bt-1, arka abhabwr-1, arka alokbwr-5, pusa ruby, s-12 and pusa early dwarf."
asking about varieties.,"early maturity variety of cabbage: golden acre, pride of india, pusa mukta(sel-8).
late maturity: drum head and eclipse drum head.",What is varieties.?,"Early maturity variety of cabbage: golden acre, pride of india, pusa muktasel-8. late maturity: drum head and eclipse drum head."
asking about varieties.,"early variety: pusa deepali, pusa katki and early kunwari.
mid: pusa snowball, pusa synthetic and improved japanese and main crop patna.
late: snowball-16, pusa snowball, k-1 and hissar-1.",What is varieties.?,"Early variety: pusa deepali, pusa katki and early kunwari. mid: pusa snowball, pusa synthetic and improved japanese and main crop patna. late: snowball-16, pusa snowball, k-1 and hissar-1."
asking about seed treatment.,"seed treatment: mixed the seed with captaf/azoxystrobin @ 3 gram/kg seeds.
or apply bioveer @ 100 gram/kg seeds.",What is seed treatment.?,Seed treatment: mixed the seed with captaf/azoxystrobin @ 3 gram/kg seeds. or apply bioveer @ 100 gram/kg seeds.
"please tell me assam sate information ?
","आप अपने  असम की लोकल सिम से 18001801551 नंबर लगाए ताकि आपका सम्पर्क असम किसान कॉल सेण्टर से होगा जंहा से आपको आपके राज्य की जानकारी मिल जाएगी
",Please tell me assam sate information?,18001801551
query regarding management of bacterial wilt in tomatos. ,"please uproot the affected plants from the field, after that drench the sol with streptomycin 2gram/liter of water or blitox-50 3gram/liter of water and keet the field open for 4-5 days.after that you can replant the seedling there. in the same field please apply above mention bactericide in the root portion of the unaffected plants also.",What is management of bacterial wilt in tomatos.?,"Please uproot the affected plants from the field, after that drench the sol with streptomycin 2gram/liter of water or blitox-50 3gram/liter of water and keet the field open for 4-5 days.after that you can replant the seedling there. in the same field please apply above mention bactericide in the root portion of the unaffected plants also."
query regarding fruit fly infestation on pumpkins., please spray the following insecticide- neem oil 5ml/liter of water or azadirachtin 2ml/liter of water or bacillus thuringiensis 2ml/liter of water 3 times at 3 days interval in the evening time in the absence of rain.,What is fruit fly infestation on pumpkins.?,Please spray the following insecticide- neem oil 5ml/liter of water or azadirachtin 2ml/liter of water or bacillus thuringiensis 2ml/liter of water 3 times at 3 days interval in the evening time in the absence of rain.
